Sample number,Distilate flowrate,reflux flow rate ,average temperature,Condensor T in ,Condensor T out,Flowrate of water,Sample density(g·cm-3),reflux ratio ,Pump Power(%),Mean Column temperature,Methanol%,Density (g·cm-3),,,pump power %,reflux flow ,Distilate flow rate ,reflux ratio,,,,,,,,,,,,
BOP 001 ,30,29.9,83,16.2,27.4,1,0.821728,0.996666667,58,72.1,0,0.9974,,,33,45,15,3,,,BOP 002,29.1,45.9,83,16.2,43.1,1.2,0.823582,1.577319588,
BOP 003,30,3.6,82.5,10.9,13.5,0.9,0.85161,0.12,24,72.3,10,0.9838,,,34,38,22.2,1.711711712,,,,,,,,,,,,
BOP 004,29.7,20.3,82.2,13.2,22.4,1.1,0.82618,0.683501684,48,72.1,20,0.9706,,,35,37.8,22,1.718181818,,,,,,,,,,,,
BOP 005,29.6,12.5,82.4,12.5,19.3,1.2,0.84479,0.422297297,34,72.3,30,0.9565,,,40,32.8,27.2,1.205882353,,,,,,,,,,,,
BOP 006,30.5,22.5,82.3,12.5,24.3,1.4,0.832423,0.737704918,52,72.3,40,0.9415,,,50,28,33,0.848484848,,,BOP 002,0.1,30,83.2,17.7,29,1.5,0.805391,300,70
BOP 007,29.8,23.3,82.2,12.8,23.2,1.1,0.832014,0.781879195,55,72.2,50,0.9258,,,,,,,,,BOP 014,40,3.6,82,10.8,10.5,0.9,0.857627,0.09,
BOP 008,20,2.7,82.4,12.1,12.5,1.1,0.84393,0.135,40,72.1,60,0.9001,,,,,,,,,,,,,,,,,,
BOP 009,20.4,9.6,82.1,12.4,20.3,1.1,0.827314,0.470588235,34,72.3,70,0.8702,,0.884607,,,,,,,,,,,,,,,,
BOP 010,20.4,15.6,82.2,12.3,23.2,1.2,0.820128,0.764705882,40,72.2,80,0.8466,,0.897033,,,,,,,,,,,,,,,,
BOP 011,19.8,5.3,82.6,12.3,12.3,1.1,0.852958,0.267676768,32,72.3,90,0.8232,,0.896962,,,,,,,,,,,,,,,,
BOP 012,19.6,30.4,82.4,12.3,20.5,0.7,0.822522,1.551020408,53,71.8,,,,0.900474,,,,,,,,,,,,,,,,
BOP 013,20.6,29.6,82.7,12.7,26.2,0.7,0.82655,1.436893204,43,71.6,100,0.788,,0.906519,,,,,,,,,,,,,,,,
BOP 014,20.1,39.9,83.3,12.8,23.4,0.7,0.82075,1.985074627,57,72.4,,,,,,,,,,,,,,,,,,,,
BOP 015,20.8,49.2,83.3,13.2,38,0.7,0.811464,2.365384615,69,72.3,,,,,,,,,,,,,,,,,,,,
BOP 016,29.1,45.9,85.8,18.6,21.9,1.3,0.831387,1.577319588,75,79.3,,,,,,,,,,,,,,,,,,,,
BOP 017,30,60,86.1,15.7,25,1.3,0.826001,2,89,75.1,,,,,,,,,,,,,,,,,,,,
BOP 018,10,10,85.4,13.2,14.1,1,0.83155,1,12,75.3,,,,,,,,,,,,,,,,,,,,
BOP 019,10,2.7,86,14.3,28.4,1,0.84479,0.27,19,83.7,,,,,,,,,,,,,,,,,,,,
BOP 020,9.9,15.1,85.9,18.9,33.7,1.5,0.825128,1.525252525,25,84.3,,,,,,,,,,,,,,,,,,,,
BOP 021,10,5,86,17.1,32.4,1.6,0.852958,0.5,30,84.4,,,,,,,,,,,,,,,,,,,,
BOP 022,9.8,20.2,85.7,18.3,32,1.6,0.82575,2.06122449,35,84.3,,,,,,,,,,,,,,,,,,,,
BOP 023,20.5,31,84.1,12.2,20.6,0.8,0.822586,1.512195122,60,82.1,,,,,,,,,,,,,,,,,,,,
